remote 遥远的偏远的
ripe 成熟的；熟的
rough 粗糙的；粗略的
safe 安全的
severe 剧烈的；极为恶劣的
shallow 浅的；不深的肤浅的
similar 相似的像
slow 简单的；简易的
smooth 光滑的；平坦的
soft 软的；柔和的
solid 结实的；固体的
spare 空闲的；多余的
splendid 灿烂的；辉煌的
standard 标准的；标准
still 不动的；静止的；仍然
sudden 突然地
sure 确信的；肯定的
sweet 甜的；可爱的；亲切的
swift 快速的；迅速的
thorough 彻底的
tight 紧的
tough 坚硬的；结实的
vague 含糊的；模糊不清的
valid 有效地；合理的
vivid 生动的；逼真的
wild 未开发的；荒凉的

地名 国人语言属地 等形容词
African 非洲的；非洲人的
American 美国的美洲的
Antarctic 南极的
Arab 阿拉伯的
Arabic 阿拉伯语的
Arctic 北极的
Asian 亚洲的；亚洲人的
Atlantic 大西洋的
Australian 澳洲的；澳大利亚人的
British 英国的；英国人的
Canadian 加拿大的；加拿大人的
Chinese 中国的；中国人的
Egyptian 埃及的；埃及人的
english 英国的英国人的；英语的
English-speaking 说英语的
European 欧洲的；欧洲人的
French 法国的；法国人的
German 德国的；德国人的
Greek 希腊的；希腊人的
Indian 印度的；印第安人的
Irish 爱尔兰的；爱尔兰人的
Italian 意大利的；意大利语的
Japanese 日本的日本人的
Mexican 墨西哥的
pacific 和平的；平静的
Russian 俄罗斯的；俄罗斯人的
Scottish 苏格兰的；苏格兰人的

中考基础词库补全（第一期候选词）
a 一；一个；每一
an 一；一个
the 这；那；这些；那些
I 我
me 我；宾格
my 我的
myself 我自己
you 你；你们
your 你的；你们的
yours 你的；你们的
yourself 你自己
yourselves 你们自己
he 他
him 他；宾格
his 他的
himself 他自己
she 她
her 她；她的
hers 她的
herself 她自己
it 它
its 它的
itself 它自己
we 我们
us 我们；宾格
our 我们的
ours 我们的
ourselves 我们自己
they 他们；她们；它们
them 他们；她们；它们；宾格
their 他们的；她们的；它们的
theirs 他们的；她们的；它们的
themselves 他们自己
who 谁；……的人
whom 谁；宾格
whose 谁的
what 什么
when 什么时候；当……时
where 哪里；在……的地方
why 为什么
how 怎样；多么
here 这里
there 那里
any 任何；一些
more 更多；更
most 最多；大多数
less 更少
least 最少
everyone 每个人
everybody 每个人
everything 每件事
someone 某人
somebody 某人
something 某事；某物
anyone 任何人
anybody 任何人
anything 任何事物
nobody 没有人
nothing 没有什么
none 没有一个
others 其他人；其他事物
one 一；一个
two 二
three 三
four 四
five 五
six 六
seven 七
eight 八
nine 九
ten 十
eleven 十一
twelve 十二
thirteen 十三
fourteen 十四
fifteen 十五
sixteen 十六
seventeen 十七
eighteen 十八
nineteen 十九
twenty 二十
thirty 三十
forty 四十
fifty 五十
sixty 六十
seventy 七十
eighty 八十
ninety 九十
hundred 百
thousand 千
million 百万
first 第一
second 第二；秒
third 第三
fourth 第四
fifth 第五
sixth 第六
seventh 第七
eighth 第八
ninth 第九
tenth 第十
once 一次；曾经
twice 两次
again 再一次
about 关于；大约
above 在……上方
across 穿过；在对面
after 在……之后
against 反对；倚着
along 沿着
among 在……之中
around 在周围；大约
as 作为；像；当……时
at 在
before 在……之前
behind 在……后面
below 在……下面
beside 在……旁边
between 在……之间
beyond 超过；在……那边
by 通过；在……旁边；被
during 在……期间
for 为了；对于；持续
from 从；来自
in 在……里面
inside 在……里面
into 进入
near 在……附近
of ……的
off 离开；脱离
on 在……上面
onto 到……上
out 出去
outside 在外面
over 在……上方；越过
through 穿过；通过
throughout 遍及；贯穿
till 直到
to 到；向
toward 朝向
towards 朝向
under 在……下面
until 直到
with 和；带有
without 没有
and 和
but 但是
or 或者
so 因此；所以
because 因为
if 如果；是否
although 虽然
though 虽然
unless 除非
while 当……时；然而
whether 是否
than 比
then 然后；那时
also 也
too 也；太
even 甚至
ever 曾经
never 从不
already 已经
yet 还；仍然
soon 很快
today 今天
yesterday 昨天
tomorrow 明天
tonight 今晚
now 现在
ago 以前
always 总是
usually 通常
often 经常
sometimes 有时
seldom 很少
hardly 几乎不
almost 几乎
quite 相当
rather 相当；宁愿
very 非常
really 真正地；非常
especially 尤其
probably 可能
maybe 也许
